job_title,salary_estimate,rating,company_name,location,headquarters,size,ownership_type,industry,sector,revenue,min_salary,max_salary,avg_salary,job_state,same_state,company_age,python,excel,hadloop,spark,aws,tableau,big_data,job_simp,seniority
Senior Data Analyst - Finance & Platform Analytics,128-201 ,3.6,Twitch,"San Francisco, CA","San Francisco, CA",1001 to 5000 employees,Subsidiary or Business Segment,Internet,Information Technology,Unknown / Non-Applicable,128,201,164, CA,true,9,true,false,false,false,false,true,false,analyst,false
Data Engineer,128-201 ,4.5,Kingfisher Systems,"Falls Church, VA","Falls Church, VA",51 to 200 employees,Company - Private,Federal Agencies,Government,$25 to $50 million (USD),128,201,164, VA,true,15,true,false,false,false,false,false,false,data engineer,false
Data Scientist Technical Specialist,128-201 ,3.4,Peraton,"Chantilly, VA","Herndon, VA",1001 to 5000 employees,Company - Private,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),128,201,164, VA,false,3,true,false,true,true,false,false,true,data scientist,false
Senior Data Scientist,128-201 ,3.1,Group O,"Chicago, IL","Milan, IL",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services,$500 million to $1 billion (USD),128,201,164, IL,false,46,true,false,true,false,false,false,false,data scientist,false
Data Science Manager,128-201 ,4.0,Autodesk,"San Francisco, CA","San Rafael, CA",5001 to 10000 employees,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),128,201,164, CA,false,38,true,true,true,true,false,false,true,manager,false
Computer Vision / Deep Learning Scientist,128-201 ,3.3,Tempus Labs,"Chicago, IL","Chicago, IL",501 to 1000 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,128,201,164, IL,true,5,false,false,false,false,true,false,false,na,false
Big Data Engineer,128-201 ,4.1,CaptiveAire,"Raleigh, NC","Raleigh, NC",1001 to 5000 employees,Company - Private,Industrial Manufacturing,Manufacturing,$100 to $500 million (USD),128,201,164, NC,true,44,true,false,false,true,false,false,false,data engineer,false
Data Architect,128-201 ,4.2,LSQ,"Orlando, FL","Orlando, FL",51 to 200 employees,Company - Private,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),128,201,164, FL,true,24,true,false,true,true,true,false,true,na,false
Machine Learning Engineer,128-201 ,3.9,Temboo,"New York, NY","New York, NY",1 to 50 employees,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,128,201,164, NY,true,-1,false,false,true,false,false,false,false,mle,false
Data Scientist,128-201 ,0.0,Kibo,"Philadelphia, PA","Marbella, Spain",Unknown,Company - Public,-1,-1,Unknown / Non-Applicable,128,201,164, PA,false,-1,true,false,false,false,false,false,false,data scientist,false
Aviation AI/ML Data Scientist,128-201 ,3.3,MITRE,"McLean, VA","Bedford, MA",5001 to 10000 employees,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion (USD),128,201,164, VA,false,62,true,true,true,true,false,true,true,data scientist,false
